event_id,origin_time,latitude,longitude,depth_km,magnitude,region
smi:ISC/evid=622109883,2022-01-13T22:46:35.000000Z,38.467,39.213,7.0,1.7,eastern_anatolia
smi:ISC/evid=622109893,2022-01-14T06:18:55.500000Z,38.9517,26.1253,13.3,2.0,aegean
smi:ISC/evid=621827166,2022-01-14T06:25:25.350000Z,37.708,26.0039,11.4544,3.78,aegean
smi:ISC/evid=622109894,2022-01-14T07:03:17.800000Z,37.7128,26.0362,5.4,2.3,aegean
smi:ISC/evid=622109895,2022-01-14T07:05:41.300000Z,37.69,26.0173,5.0,2.2,aegean
smi:ISC/evid=622109896,2022-01-14T07:11:39.300000Z,37.7028,26.0069,11.2,3.0,aegean
smi:ISC/evid=622109897,2022-01-14T07:17:35.400000Z,37.7225,26.0037,16.0,3.2,aegean
smi:ISC/evid=622109903,2022-01-14T08:01:20.800000Z,37.662,26.0058,3.4,1.7,aegean
smi:ISC/evid=622109914,2022-01-14T12:14:54.900000Z,38.5022,39.2752,16.7,1.8,eastern_anatolia
smi:ISC/evid=622109915,2022-01-14T12:17:34.000000Z,37.718,27.023,7.0,1.6,aegean
smi:ISC/evid=622109916,2022-01-14T12:19:02.200000Z,38.4838,39.2302,6.8,2.2,eastern_anatolia
smi:ISC/evid=622109917,2022-01-14T12:49:41.000000Z,38.928,26.122,6.9,1.7,aegean
smi:ISC/evid=622109922,2022-01-14T15:45:28.000000Z,38.972,26.065,7.0,1.6,aegean
smi:ISC/evid=622109927,2022-01-14T18:16:00.700000Z,37.7206,26.0184,16.7,3.0,aegean
smi:ISC/evid=622109938,2022-01-14T20:04:08.300000Z,37.6552,26.9897,2.5,2.0,aegean
smi:ISC/evid=622109939,2022-01-14T20:12:28.900000Z,37.6868,26.0378,9.9,1.7,aegean
smi:ISC/evid=622109941,2022-01-14T20:34:59.200000Z,37.828,26.9597,5.1,1.9,aegean
smi:ISC/evid=622109945,2022-01-14T23:15:27.600000Z,39.0582,43.102,5.0,3.3,eastern_anatolia
smi:ISC/evid=622109946,2022-01-14T23:32:55.600000Z,37.7058,26.0447,5.0,2.0,aegean
smi:ISC/evid=622109948,2022-01-15T00:19:57.700000Z,37.7032,27.009,6.5,1.8,aegean
smi:ISC/evid=622109952,2022-01-15T01:37:36.400000Z,39.0547,43.1,5.0,2.9,eastern_anatolia
smi:ISC/evid=622109954,2022-01-15T01:50:11.400000Z,37.8498,26.872,5.2,1.7,aegean
smi:ISC/evid=622109957,2022-01-15T04:08:46.400000Z,37.69,26.0053,12.7,1.9,aegean
smi:ISC/evid=622109962,2022-01-15T05:35:14.400000Z,37.6853,27.006,6.0,2.2,aegean
smi:ISC/evid=622109963,2022-01-15T05:42:18.800000Z,37.6192,26.9295,9.3,2.2,aegean
smi:ISC/evid=622109966,2022-01-15T06:11:48.500000Z,37.6875,26.9807,9.0,1.8,aegean
smi:ISC/evid=622109967,2022-01-15T07:36:21.100000Z,38.4178,26.676,12.3,1.9,aegean
smi:ISC/evid=622109968,2022-01-15T07:43:15.000000Z,38.75,39.97,7.7,2.3,eastern_anatolia
smi:ISC/evid=622109969,2022-01-15T07:58:06.400000Z,40.2165,31.7548,5.0,2.1,central_anatolia
smi:ISC/evid=622109971,2022-01-15T08:57:31.000000Z,38.756,39.977,5.7,2.4,eastern_anatolia
smi:ISC/evid=622109972,2022-01-15T10:15:32.500000Z,39.39,26.2185,9.3,3.1,aegean
smi:ISC/evid=626578270,2022-01-15T10:16:55.300000Z,39.3777,26.2088,11.3,2.1,aegean
smi:ISC/evid=626578269,2022-01-15T10:24:45.300000Z,39.391,26.2001,12.5,2.1,aegean
smi:ISC/evid=622109974,2022-01-15T10:26:40.800000Z,38.7055,39.9777,8.1,2.4,eastern_anatolia
smi:ISC/evid=626578265,2022-01-15T11:30:25.000000Z,37.673,26.0458,22.3,2.5,aegean
smi:ISC/evid=622109991,2022-01-15T21:47:51.800000Z,39.2887,26.7643,2.9,2.2,aegean
smi:ISC/evid=622109992,2022-01-15T21:54:44.000000Z,38.062,27.053,7.0,1.8,aegean
smi:ISC/evid=622109994,2022-01-15T23:03:57.000000Z,39.812,41.818,7.1,1.7,eastern_anatolia
smi:ISC/evid=622109995,2022-01-16T00:08:50.000000Z,39.9037,41.873,20.5,1.7,eastern_anatolia
smi:ISC/evid=622109996,2022-01-16T02:14:39.800000Z,39.9297,41.8393,17.3,1.6,eastern_anatolia
smi:ISC/evid=622109997,2022-01-16T03:15:28.600000Z,39.0608,26.7723,10.2,2.4,aegean
smi:ISC/evid=622109999,2022-01-16T04:16:28.000000Z,39.492,27.628,7.0,2.8,aegean
smi:ISC/evid=622110000,2022-01-16T05:34:27.100000Z,37.661,26.0768,5.1,2.0,aegean
smi:ISC/evid=622110003,2022-01-16T06:50:06.700000Z,40.1007,27.6195,12.8,1.7,marmara
smi:ISC/evid=622110004,2022-01-16T07:30:49.300000Z,39.2692,26.7583,9.6,1.6,aegean
smi:ISC/evid=622110007,2022-01-16T10:20:25.100000Z,38.9398,26.1438,8.5,2.1,aegean
smi:ISC/evid=622110008,2022-01-16T10:59:18.000000Z,39.854,41.79,7.0,1.9,eastern_anatolia
smi:ISC/evid=622110030,2022-01-16T15:57:38.900000Z,38.9635,26.1107,8.2,2.1,aegean
smi:ISC/evid=622110032,2022-01-16T16:06:22.700000Z,37.6927,26.9515,11.7,1.7,aegean
smi:ISC/evid=622110036,2022-01-16T18:17:48.700000Z,38.48,39.1683,5.0,3.3,eastern_anatolia
smi:ISC/evid=622110037,2022-01-16T18:36:50.000000Z,39.87,41.803,7.0,1.6,eastern_anatolia
smi:ISC/evid=622110039,2022-01-16T19:11:41.000000Z,39.217,39.207,7.0,1.8,eastern_anatolia
smi:ISC/evid=622110052,2022-01-16T23:29:25.800000Z,38.399,27.2217,5.3,1.8,aegean
smi:ISC/evid=622110054,2022-01-17T00:12:06.000000Z,40.7935,27.5408,15.6,2.6,marmara
smi:ISC/evid=622110060,2022-01-17T01:29:51.600000Z,37.7216,26.0028,11.1,2.4,aegean
smi:ISC/evid=622110061,2022-01-17T03:48:36.500000Z,37.622,26.9272,13.0,2.4,aegean
smi:ISC/evid=622110062,2022-01-17T04:02:58.600000Z,38.745,31.2215,5.4,2.1,central_anatolia
smi:ISC/evid=622110063,2022-01-17T04:26:16.300000Z,40.0532,32.0767,10.2,2.5,central_anatolia
smi:ISC/evid=622110065,2022-01-17T05:45:04.000000Z,38.77,40.011,7.2,1.8,eastern_anatolia
smi:ISC/evid=622110079,2022-01-17T10:22:48.000000Z,38.888,26.779,7.0,1.6,aegean
smi:ISC/evid=622110082,2022-01-17T12:06:49.200000Z,40.673,27.414,13.3,3.2,marmara
smi:ISC/evid=636018101,2022-01-17T14:29:45.000000Z,37.672,26.957,7.0,1.6,aegean
smi:ISC/evid=622110101,2022-01-17T16:26:42.000000Z,38.159,41.486,11.6,1.7,eastern_anatolia
smi:ISC/evid=622110105,2022-01-17T17:20:43.000000Z,39.006,27.865,7.3,1.5,aegean
smi:ISC/evid=622110108,2022-01-17T20:14:40.000000Z,38.88,43.493,13.1,1.9,eastern_anatolia
smi:ISC/evid=622110109,2022-01-17T20:16:27.400000Z,39.9103,33.0653,9.1,1.5,central_anatolia
smi:ISC/evid=622110110,2022-01-17T20:42:11.300000Z,38.9222,26.1168,8.5,1.9,aegean
smi:ISC/evid=621724400,2022-01-17T23:28:58.170000Z,39.0678,35.9361,10.447299999999998,4.22,central_anatolia
smi:ISC/evid=622110113,2022-01-17T23:34:15.000000Z,39.06,35.833,22.8,2.2,central_anatolia
smi:ISC/evid=636018122,2022-01-17T23:35:03.000000Z,39.081,35.827,7.0,1.7,central_anatolia
smi:ISC/evid=622110114,2022-01-17T23:47:23.000000Z,39.079,35.856,7.0,1.8,central_anatolia
smi:ISC/evid=622110118,2022-01-17T23:57:00.000000Z,39.1,35.823,7.1,1.5,central_anatolia
smi:ISC/evid=622110119,2022-01-18T00:12:53.000000Z,39.061,35.849,7.1,1.7,central_anatolia
smi:ISC/evid=622110120,2022-01-18T00:19:04.000000Z,39.089,35.845,7.3,1.6,central_anatolia
smi:ISC/evid=622110121,2022-01-18T00:30:30.900000Z,39.0713,35.9327,7.8,1.9,central_anatolia
smi:ISC/evid=622110123,2022-01-18T00:32:02.000000Z,39.074,35.879,7.0,1.6,central_anatolia
smi:ISC/evid=636018830,2022-01-18T00:35:45.000000Z,39.093,35.863,7.1,1.5,central_anatolia
smi:ISC/evid=622110127,2022-01-18T01:35:58.000000Z,39.09,35.885,7.1,1.5,central_anatolia
smi:ISC/evid=622110130,2022-01-18T01:36:40.000000Z,39.077,35.897,7.0,1.5,central_anatolia
smi:ISC/evid=622110132,2022-01-18T01:48:22.000000Z,39.081,35.893,7.1,1.9,central_anatolia
smi:ISC/evid=622110134,2022-01-18T02:13:24.000000Z,39.092,35.857,7.1,1.6,central_anatolia
smi:ISC/evid=622110135,2022-01-18T02:23:00.000000Z,39.062,35.869,7.0,1.6,central_anatolia
smi:ISC/evid=622110137,2022-01-18T02:27:04.000000Z,40.569,27.757,7.6,1.7,marmara
smi:ISC/evid=622110139,2022-01-18T02:36:17.500000Z,37.9295,27.157,7.5,1.9,aegean
smi:ISC/evid=622110141,2022-01-18T02:55:28.000000Z,38.871,40.135,11.4,2.0,eastern_anatolia
smi:ISC/evid=622110143,2022-01-18T03:22:09.000000Z,39.086,35.842,7.0,1.5,central_anatolia
smi:ISC/evid=622110144,2022-01-18T04:00:19.300000Z,37.8847,26.8548,7.7,2.2,aegean
smi:ISC/evid=622110151,2022-01-18T06:20:44.700000Z,39.0475,35.9202,11.3,1.6,central_anatolia
