filename,station,event_id,magnitude,mag_band,t_start,t_origin,status
small_KO.KMRS_626754710.npz,KO.KMRS,626754710,1.7,M1.5-2.0,2023-03-04T20:31:18.000000Z,2023-03-04T20:31:48.000000Z,ok
small_KO.KOZT_643660844.npz,KO.KOZT,643660844,1.6,M1.5-2.0,2023-08-04T13:58:53.000000Z,2023-08-04T13:59:23.000000Z,ok
small_KO.KMRS_643660844.npz,KO.KMRS,643660844,1.6,M1.5-2.0,2023-08-04T13:58:53.000000Z,2023-08-04T13:59:23.000000Z,ok
small_KO.KOZT_636322287.npz,KO.KOZT,636322287,1.6,M1.5-2.0,2023-07-25T10:44:56.900000Z,2023-07-25T10:45:26.900000Z,ok
small_KO.KMRS_636322287.npz,KO.KMRS,636322287,1.6,M1.5-2.0,2023-07-25T10:44:56.900000Z,2023-07-25T10:45:26.900000Z,"fail: Missing channels: ['HHZ', 'HHE']"
small_KO.KOZT_636317942.npz,KO.KOZT,636317942,1.7,M1.5-2.0,2023-06-18T09:53:11.400000Z,2023-06-18T09:53:41.400000Z,ok
small_KO.KMRS_636317942.npz,KO.KMRS,636317942,1.7,M1.5-2.0,2023-06-18T09:53:11.400000Z,2023-06-18T09:53:41.400000Z,fail: Gap fraction 0.99 > 0.05
small_KO.KOZT_626758781.npz,KO.KOZT,626758781,1.7,M1.5-2.0,2023-03-15T03:55:14.800000Z,2023-03-15T03:55:44.800000Z,ok
small_KO.KMRS_626758781.npz,KO.KMRS,626758781,1.7,M1.5-2.0,2023-03-15T03:55:14.800000Z,2023-03-15T03:55:44.800000Z,ok
small_KO.KOZT_636307371.npz,KO.KOZT,636307371,1.8,M1.5-2.0,2023-04-21T22:44:08.400000Z,2023-04-21T22:44:38.400000Z,ok
small_KO.KMRS_636307371.npz,KO.KMRS,636307371,1.8,M1.5-2.0,2023-04-21T22:44:08.400000Z,2023-04-21T22:44:38.400000Z,ok
small_KO.KOZT_626762571.npz,KO.KOZT,626762571,1.7,M1.5-2.0,2023-03-26T13:10:33.100000Z,2023-03-26T13:11:03.100000Z,ok
small_KO.KMRS_626762571.npz,KO.KMRS,626762571,1.7,M1.5-2.0,2023-03-26T13:10:33.100000Z,2023-03-26T13:11:03.100000Z,ok
small_KO.KOZT_642691097.npz,KO.KOZT,642691097,1.8,M1.5-2.0,2023-02-13T22:19:51.000000Z,2023-02-13T22:20:21.000000Z,ok
small_KO.KMRS_642691097.npz,KO.KMRS,642691097,1.8,M1.5-2.0,2023-02-13T22:19:51.000000Z,2023-02-13T22:20:21.000000Z,ok
small_KO.KOZT_626761828.npz,KO.KOZT,626761828,1.7,M1.5-2.0,2023-03-24T07:20:22.500000Z,2023-03-24T07:20:52.500000Z,ok
small_KO.KMRS_626761828.npz,KO.KMRS,626761828,1.7,M1.5-2.0,2023-03-24T07:20:22.500000Z,2023-03-24T07:20:52.500000Z,fail: Gap fraction 0.16 > 0.05
small_KO.KOZT_626665013.npz,KO.KOZT,626665013,1.7,M1.5-2.0,2023-02-12T04:19:16.500000Z,2023-02-12T04:19:46.500000Z,ok
small_KO.KMRS_626665013.npz,KO.KMRS,626665013,1.7,M1.5-2.0,2023-02-12T04:19:16.500000Z,2023-02-12T04:19:46.500000Z,ok
